,Unnamed: 0,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents,GVRate,LogPop,LogHousingPrice,LogPopDensity
2963,2963,fl,keybiscayne,0.0,0.0,0.0,0.0,12344.0,7072.0,1.3599999999999997,1.2299999999999986,10070.700000000008,5769.600000000001,1210994.8979591837,1,1.9061415881971712e-05,4.091455913055092,6.083142313421466,4.003059658793099
3002,3002,fl,lee,0.0,1.0,0.0,0.16666666666666666,352.0,160.0,2.4000000000000026,2.4000000000000026,146.60000000000014,66.69999999999995,116361.09615384616,6,0.004010695187165775,2.546542663478131,5.065807803768941,2.1661339703051095
3332,3332,ga,bethlehem,0.0,1.0,0.0,0.09090909090909093,601.0,247.0,2.3299999999999987,2.3299999999999987,258.3999999999998,106.1999999999999,177083.0980392157,11,0.004306547910345503,2.7788744720027396,5.248177111282678,2.4122925093230463
3398,3398,ga,colbert,2.0,1.0,0.16666666666666666,0.08333333333333333,592.0,268.0,1.0200000000000011,1.0200000000000011,581.0,263.0,155042.0576923077,12,0.004769475357710652,2.77232170672292,5.1904495236288035,2.7641761323903307
3424,3424,ga,danielsville,1.0,2.0,0.05263157894736842,0.10526315789473684,560.0,265.0,1.489999999999999,1.459999999999999,384.2000000000004,181.79999999999995,113578.49122807015,19,0.007983193277310924,2.7481880270062002,5.055296095236015,2.5845573605256753
3526,3526,ga,hephzibah,24.0,30.0,0.3157894736842105,0.3947368421052632,4011.0,1613.0,19.380000000000067,19.309999999999963,207.70000000000041,83.5,122314.35483870967,76,0.004458327833751301,3.6032526619816467,5.087477428920184,2.3174364965351
3540,3540,ga,hull,1.0,2.0,0.08333333333333333,0.16666666666666666,198.0,86.0,0.3200000000000001,0.3200000000000001,621.2000000000005,269.7999999999998,150181.24,12,0.014260249554367202,2.296665190261531,5.1766156858417425,2.793231447056521
3584,3584,ga,lithonia,40.0,30.0,0.5797101449275363,0.43478260869565216,1924.0,892.0,0.8900000000000003,0.8900000000000003,2156.8999999999965,1000.0,131245.9756097561,69,0.008438302555949614,3.284205067701794,5.118085995527354,3.3338300104456455
3703,3703,ga,register,0.0,0.0,0.0,0.0,175.0,73.0,0.7800000000000006,0.7700000000000002,226.20000000000007,94.3000000000001,77992.2,6,0.008067226890756302,2.2430380486862944,4.892051171070673,2.3544926005894364
3774,3774,ga,talkingrock,1.0,2.0,0.5,1.0,64.0,34.0,1.4899999999999998,1.4899999999999998,43.0,22.899999999999995,170391.77551020408,2,0.007352941176470588,1.806179973983887,5.2314486283606305,1.6334684555795864
3837,3837,ga,winterville,0.0,2.0,0.0,0.1,1122.0,529.0,2.650000000000002,2.6200000000000028,428.3000000000004,201.90000000000006,154662.01960784313,20,0.004194191045402119,3.0499928569201424,5.189383676983987,2.6317480743965698
4142,4142,ia,durango,0.0,0.0,0.0,0.0,22.0,10.0,0.04000000000000002,0.04000000000000002,573.2000000000004,260.5,128533.55102040815,1,0.010695187165775402,1.3424226808222062,5.1090165060418515,2.758306181725307
4505,4505,ia,nodaway,1.0,1.0,0.5,0.5,114.0,62.0,0.5399999999999995,0.5399999999999995,213.0,115.80000000000014,111452.14285714287,2,0.0041279669762641896,2.0569048513364727,5.047088422947132,2.3283796034387376
4948,4948,id,murtaugh,0.0,0.0,0.0,0.0,115.0,49.0,0.12000000000000008,0.12000000000000008,994.3000000000008,423.7000000000004,227515.98,2,0.004092071611253197,2.060697840353612,5.357011905529801,2.9975174394147253
5405,5405,il,fults,1.0,0.0,1.0,0.0,26.0,11.0,0.06999999999999995,0.06999999999999995,394.4,166.89999999999984,60436.775510204076,1,0.00904977375565611,1.414973347970818,4.7813012853247985,2.5959369062691735
6167,6167,il,winnetka,0.0,0.0,0.0,0.0,12187.0,4425.0,3.889999999999996,3.810000000000002,3198.5,1161.4000000000008,1245801.9591836734,1,1.9306976093136854e-05,4.085896811131588,6.095449009522541,3.5049463550535815
6455,6455,in,laconia,2.0,0.0,2.0,0.0,50.0,25.0,0.04999999999999999,0.04999999999999999,1007.4000000000008,503.70000000000056,137132.51020408163,1,0.004705882352941177,1.6989700043360187,5.137140425821604,3.003201946521693
7270,7270,ky,booneville,2.0,2.0,0.6666666666666666,0.6666666666666666,81.0,47.0,0.6099999999999997,0.5799999999999992,139.1000000000001,80.69999999999993,66612.57142857142,3,0.008714596949891067,1.9084850188786497,4.823556198942611,2.1433271299920467
7291,7291,ky,california,2.0,0.0,1.0,0.0,90.0,46.0,0.25999999999999984,0.25999999999999984,350.89999999999986,179.30000000000004,119618.57142857145,2,0.005228758169934641,1.954242509439325,5.077798611448491,2.545183368215406
